class,sheet,row,section,desc_old,desc_new,price_old,price_new,note
REFUSED (Michael's ruling),Sheet1,93,?,4 MM PLYWOOD,4 MM PLYWOOD,71.47651006711409,68.79194630872483,
REFUSED (Michael's ruling),Sheet1,94,?,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
REFUSED (Michael's ruling),Sheet1,95,?,19MM PHONE BONDED PLYWOOD,19MM PHONE BONDED PLYWOOD,316.77852348993287,223.15436241610738,
REFUSED (Michael's ruling),Sheet1,96,?,INT GRP SKIN 1*450 CSM,Rhinotex 1150,213.11,213.11,
REFUSED (Michael's ruling),Sheet1,97,?,DOOR BLOCKS,DOOR BLOCKS,264.50775000000004,268.01775000000004,
REFUSED (Michael's ruling),Sheet1,106,?,28777 DOOR CAPPING,28777 DOOR CAPPING,106.14,106.14,
REFUSED (Michael's ruling),Sheet1,107,?,30258 NEW DOOR CAPPING,30258 NEW DOOR CAPPING,106.14,106.14,
REFUSED (Michael's ruling),Sheet1,108,?,2136 INNER DOOR RUBBER,2136 INNER DOOR RUBBER,24.72,24.72,
REFUSED (Michael's ruling),Sheet1,109,?,2317 OUTER DOOR RUBBER,2317 OUTER DOOR RUBBER,60.18,60.18,
REFUSED (Michael's ruling),Sheet1,115,?,SMALL VERTICAL,SMALL VERTICAL,149.08,149.08,
REFUSED (Michael's ruling),Sheet1,117,?,SILICONE,SILICONE,116.1500,116.1500,
REFUSED (Michael's ruling),Sheet1,118,?,0661-0631 LONG RIVETS,0661-0631 LONG RIVETS,0.5150,0.5150,
REFUSED (Michael's ruling),Sheet1,127,?,EXT GRP SKIN 2*300 CSM,Rhinotex 1150,213.11,213.11,
REFUSED (Michael's ruling),Sheet1,128,?,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
REFUSED (Michael's ruling),Sheet1,129,?,20MM EPS,20MM EPS,41.2,41.2,
REFUSED (Michael's ruling),Sheet1,130,?,80 DV URETHANE ,80 DV URETHANE ,228.65420134228185,228.65420134228185,
REFUSED (Michael's ruling),Sheet1,131,?,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
REFUSED (Michael's ruling),Sheet1,132,?,4 MM PLYWOOD,4 MM PLYWOOD,71.47651006711409,68.79194630872483,
REFUSED (Michael's ruling),Sheet1,133,?,GLUE LINE,GLUE LINE,28.583333333333332,28.583333333333332,
REFUSED (Michael's ruling),Sheet1,134,?,19MM PHENO BONDED PLYWOOD,19MM PHENO BONDED PLYWOOD,316.77852348993287,223.15436241610738,
