sheet,section,row,desc_old,desc_new,price_old,price_new,total_old,total_new,desc_changed,price_changed,total_changed,highlighted
Manni DF,?,38,CHINESE INTERNAL HIGH IMPACT,CHINESE INTERNAL HIGH IMPACT,193.11,213.11,1305.4236000000003,1496.0322,False,True,True,False
Manni DF,?,44,CHINESE EXTERNAL HIGH GLOSS,CHINESE EXTERNAL HIGH GLOSS,152.23,213.11,1029.0748,1496.0322,False,True,True,False
Manni DF,?,45,30MM PU INJECTION,30MM PU INJECTION,56.61904761904762,56.61904761904762,875.7200152380954,909.4015542857145,False,False,True,False
Manni DF,?,46,CHINESE INTERNAL HIGH IMPACT,CHINESE INTERNAL HIGH IMPACT,193.11,213.11,1305.4236000000003,1496.0322,False,True,True,False
Manni DF,?,47,DOOR BLOCKS,DOOR BLOCKS,525.559,587.119,525.559,587.119,False,True,True,False
Manni DF,?,53,CSLB HINGES,CSLB HINGES,146.7300,146.7300,880.3799999999999,1173.84,False,False,True,False
Manni DF,?,57,30258 NEW DOOR CAPPING,30258 NEW DOOR CAPPING,106.14,106.14,1103.856,1146.3120000000001,False,False,True,False
Manni DF,?,58,2316 INNER DOOR RUBBER,2316 INNER DOOR RUBBER,24.72,24.72,381.924,391.812,False,False,True,False
Manni DF,?,59,2317 OUTER DOOR RUBBER,2317 OUTER DOOR RUBBER,60.18,60.18,929.781,953.8530000000001,False,False,True,False
Manni DF,?,61,M 10 NYLOCK NUT,M 10 NYLOCK NUT,0.7374,0.7374,11.39283,11.687790000000001,False,False,True,False
Manni DF,?,72,CHINESE EXTERNAL HIGH GLOSS,CHINESE EXTERNAL HIGH GLOSS,152.23,213.11,1029.0748,1496.0322,False,True,True,False
Manni DF,?,73,30MM PU INJECTION,30MM PU INJECTION,56.61904761904762,56.61904761904762,875.7200152380954,909.4015542857145,False,False,True,False
Manni DF,?,74,CHINESE INTERNAL HIGH IMPACT,CHINESE INTERNAL HIGH IMPACT,193.11,213.11,1305.4236000000003,1496.0322,False,True,True,False
